iter	RMSE
<<<<<<< HEAD
0	14.005006
1	13.14441192
2	12.34258257
3	11.64527793
4	11.02766183
5	10.43485794
6	9.890641275
7	9.492161212
8	9.105082953
9	8.674157135
10	8.341743544
11	8.049372916
12	7.757318612
13	7.522206899
14	7.297756655
15	7.088359431
16	6.882113791
17	6.704728832
18	6.563881962
19	6.418790279
20	6.315756953
21	6.210157751
22	6.115058449
23	6.014819884
24	5.93117229
25	5.844857622
26	5.771145213
27	5.704018229
28	5.665806474
29	5.616500369
30	5.558023666
31	5.510080976
32	5.468747792
33	5.429275534
34	5.402117324
35	5.367635151
36	5.345181232
37	5.319151269
38	5.296134146
39	5.269629003
40	5.251147059
41	5.248003302
42	5.232376509
43	5.213524255
44	5.189691584
45	5.166052198
46	5.140406659
47	5.118929684
48	5.108792602
49	5.098141225
50	5.085926393
51	5.067816804
52	5.049834901
53	5.03838627
54	5.033534248
55	5.023726885
56	5.01290392
57	5.005569127
58	4.989969032
59	4.976762446
60	4.967222715
61	4.954407599
62	4.942125056
63	4.930230716
64	4.921695642
65	4.906405625
66	4.894330248
67	4.88211557
68	4.877946398
69	4.863182126
70	4.84646533
71	4.838014752
72	4.82981137
73	4.817094767
74	4.808314151
75	4.796235023
76	4.784434534
77	4.774402487
78	4.76731896
79	4.75934113
80	4.754106378
81	4.744002932
82	4.731700554
83	4.723284153
84	4.712232782
85	4.703046867
86	4.698601855
87	4.692429407
88	4.675027364
89	4.662368584
90	4.646206172
91	4.641245848
92	4.633900435
93	4.624738236
94	4.612798287
95	4.605222001
96	4.601725912
97	4.59722371
98	4.580235665
99	4.57591791
=======
0	13.96962521
1	13.09082657
2	12.27861651
3	11.53029884
4	10.87492512
5	10.38155225
6	9.857621344
7	9.411181059
8	8.998198398
9	8.588034504
10	8.232135915
11	7.936645968
12	7.686327869
13	7.453139483
14	7.216574456
15	7.018377399
16	6.823313325
17	6.666946823
18	6.508910347
19	6.386746007
20	6.265973887
21	6.169088554
22	6.063254647
23	5.976012341
24	5.901135024
25	5.835939901
26	5.775227205
27	5.723443194
28	5.680032138
29	5.627248312
30	5.592690321
31	5.544273978
32	5.503344158
33	5.478259921
34	5.442185155
35	5.407844279
36	5.383507306
37	5.362378839
38	5.340630083
39	5.318674311
40	5.302066897
41	5.284928558
42	5.272330995
43	5.261014227
44	5.229469639
45	5.215020572
46	5.193062414
47	5.180484848
48	5.165159502
49	5.141982763
50	5.131085119
51	5.115896901
52	5.102227813
53	5.092694221
54	5.084135611
55	5.067392027
56	5.05548496
57	5.037754059
58	5.018441657
59	5.009952596
60	5.000684433
61	4.982819001
62	4.966552282
63	4.948387795
64	4.933079332
65	4.923067166
66	4.91587203
67	4.906625327
68	4.895848666
69	4.886562569
70	4.876525557
71	4.866771122
72	4.860489381
73	4.846895943
74	4.830532583
75	4.818616331
76	4.806132466
77	4.800479202
78	4.797819002
79	4.786614428
80	4.777804595
81	4.767203373
82	4.752577047
83	4.743678884
84	4.737404981
85	4.728022428
86	4.723347156
87	4.717517757
88	4.709503034
89	4.703039995
90	4.696059284
91	4.686066202
92	4.674543063
93	4.671858724
94	4.6586434
95	4.650850795
96	4.647951816
97	4.636294688
98	4.629521481
99	4.625948565
>>>>>>> a919872dc5dc7e47a4f4652a2ab672308f8ee68d
